,HK-RFC,HK-XGB,	HK-SVM,	SVM,	    HOME,	FAV
accuracy,	    0.53,	0.52,	0.30,	0.30,	0.49,0.20
sharpe,	        -0.07	0.05	-0.11	-0.11	0.06,-0.05
sortino,        -0.10	0.08	-0.8	-0.14	0.03,-0.04
avg_payoff,	    -0.06	0.05	-0.17	-0.16	0.09,-0.10
number_of_bets,	155.00	156.00	180.00	174.00	180.00,180.00
home_bets,	    94.00	99.00	9.00	7.00	180.00,35.00
away_bets,	    61.00	55.00	171.00	167.00	0.00,84.00
draw_bets,0.00,2.00,0.00	0.00	0.00,61.00
bankroll,90.72,108.48,69.67,71.63,115.32,81.10
